user_id,activity_month,total_engagement,total_likes,total_comments,engagement_rank,,username,,,,,
23,26 June 2026,405,76,329,1,,Eveline95,,,,MONTH-YEAR,SUM
59,26 June 2026,385,77,308,2,,Cesar93,,,26 June 2026,June-26,11554
88,26 June 2026,375,76,299,3,,Clint27,,,,,
86,26 June 2026,347,74,273,4,,Delfina_VonRueden68,,,,,
58,26 June 2026,318,76,242,5,,Aurelie71,,,,,
29,26 June 2026,302,73,229,6,,Jaime53,,,,,
77,26 June 2026,247,73,174,7,,Donald.Fritsch,,,,,
43,26 June 2026,222,68,154,8,,Janet.Armstrong,,,,,
13,26 June 2026,220,72,148,9,,Alexandro35,,,,,
52,26 June 2026,219,68,151,10,,Zack_Kemmer93,,,,,
11,26 June 2026,216,69,147,11,,Justina.Gaylord27,,,,,
65,26 June 2026,214,72,142,12,,Adelle96,,,,,
64,26 June 2026,214,69,145,12,,Florence99,,,,,
72,26 June 2026,212,64,148,13,,Kathryn80,,,,,
33,26 June 2026,210,69,141,14,,Yvette.Gottlieb91,,,,,
78,26 June 2026,209,66,143,15,,Colten.Harris76,,,,,
1,26 June 2026,209,67,142,15,,Kenton_Kirlin,,,,,
6,26 June 2026,208,69,139,16,,Travon.Waters,,,,,
51,26 June 2026,208,66,142,16,,Mariano_Koch3,,,,,
47,26 June 2026,206,60,146,17,,Harrison.Beatty50,,,,,
26,26 June 2026,206,65,141,17,,Josianne.Friesen,,,,,
87,26 June 2026,197,65,132,18,,Rick29,,,,,
9,26 June 2026,190,64,126,19,,Gus93,,,,,
16,26 June 2026,190,64,126,19,,Annalise.McKenzie16,,,,,
63,26 June 2026,187,64,123,20,,Elenor88,,,,,
44,26 June 2026,185,67,118,21,,Seth46,,,,,
12,26 June 2026,183,66,117,22,,Dereck65,,,,,
46,26 June 2026,182,61,121,23,,Malinda_Streich,,,,,
2,26 June 2026,181,62,119,24,,Andre_Purdy85,,,,,
32,26 June 2026,180,62,118,25,,Irwin.Larson,,,,,
8,26 June 2026,180,61,119,25,,Tabitha_Schamberger11,,,,,
3,26 June 2026,179,62,117,26,,Harley_Lind18,,,,,
15,26 June 2026,176,61,115,27,,Billy52,,,,,
28,26 June 2026,175,62,113,28,,Dario77,,,,,
96,26 June 2026,154,56,98,29,,Keenan.Schamberger60,,,,,
10,26 June 2026,147,57,90,30,,Presley_McClure,,,,,
50,26 June 2026,146,58,88,31,,Gerard79,,,,,
42,26 June 2026,144,57,87,32,,Maya.Farrell,,,,,
17,26 June 2026,142,59,83,33,,Norbert_Carroll35,,,,,
92,26 June 2026,142,50,92,33,,Frederik_Rice,,,,,
67,26 June 2026,140,53,87,34,,Emilio_Bernier52,,,,,
4,26 June 2026,138,61,77,35,,Arely_Bogan63,,,,,
99,26 June 2026,134,53,81,36,,Alek_Watsica,,,,,
62,26 June 2026,112,50,62,37,,Ressie_Stanton46,,,,,
82,26 June 2026,111,50,61,38,,Aracely.Johnston98,,,,,
84,26 June 2026,109,54,55,39,,Alysa22,,,,,
100,26 June 2026,106,53,53,40,,Javonte83,,,,,
19,26 June 2026,105,49,56,41,,Hailee26,,,,,
38,26 June 2026,105,45,60,41,,Jordyn.Jacobson2,,,,,
93,26 June 2026,105,48,57,41,,Willie_Leuschke,,,,,
35,26 June 2026,104,51,53,42,,Lennie_Hartmann40,,,,,
30,26 June 2026,103,44,59,43,,Kaley9,,,,,
95,26 June 2026,101,46,55,44,,Nicole71,,,,,
60,26 June 2026,101,43,58,44,,Sam52,,,,,
85,26 June 2026,97,46,51,45,,Milford_Gleichner42,,,,,
97,26 June 2026,88,41,47,46,,Tomas.Beatty93,,,,,
55,26 June 2026,75,41,34,47,,Meggie_Doyle,,,,,
73,26 June 2026,73,38,35,48,,Jaylan.Lakin,,,,,
48,26 June 2026,71,37,34,49,,Granville_Kutch,,,,,
22,26 June 2026,70,39,31,50,,Kenneth64,,,,,
69,26 June 2026,68,36,32,51,,Karley_Bosco,,,,,
94,26 June 2026,68,40,28,51,,Damon35,,,,,
18,26 June 2026,67,36,31,52,,Odessa2,,,,,
39,26 June 2026,66,39,27,53,,Kelsi26,,,,,
61,26 June 2026,66,38,28,53,,Jayson65,,,,,
20,26 June 2026,65,41,24,54,,Delpha.Kihn,,,,,
70,26 June 2026,65,36,29,54,,Erick5,,,,,
37,26 June 2026,65,39,26,54,,Yazmin_Mills95,,,,,
27,26 June 2026,64,35,29,55,,Darwin29,,,,,
31,26 June 2026,63,28,35,56,,Aiyana_Hoeger,,,,,
56,26 June 2026,61,33,28,57,,Peter.Stehr0,,,,,
40,26 June 2026,59,33,26,58,,Rafael.Hickle2,,,,,
79,26 June 2026,59,29,30,58,,Katarina.Dibbert,,,,,
98,26 June 2026,58,34,24,59,,Imani_Nicolas17,,,,,
