id,username,posts,likes_given,comments,activity_score,Is_inactive,,Inactive,Active
25,Tierra.Trantow,0,0,0,0,yes,,13,87
49,Morgan.Kassulke,0,0,0,0,yes,,,
81,Esther.Zulauf61,0,0,0,0,yes,,,
80,Darby_Herzog,0,0,0,0,yes,,,
7,Kasandra_Homenick,0,0,0,0,yes,,,
68,Franco_Keebler64,0,0,0,0,yes,,,
45,David.Osinski47,0,0,0,0,yes,,,
53,Linnea59,0,0,0,0,yes,,,
34,Pearl7,0,0,0,0,yes,,,
74,Hulda.Macejkovic,0,0,0,0,yes,,,
83,Bartholome.Bernhard,0,0,0,0,yes,,,
89,Jessyca_West,0,0,0,0,yes,,,
90,Esmeralda.Mraz57,0,0,0,0,yes,,,
1,Kenton_Kirlin,5,0,0,5,no,,,
51,Mariano_Koch3,5,0,0,5,no,,,
64,Florence99,5,0,0,5,no,,,
77,Donald.Fritsch,6,0,0,6,no,,,
58,Aurelie71,8,0,0,8,no,,,
29,Jaime53,8,0,0,8,no,,,
86,Delfina_VonRueden68,9,0,0,9,no,,,
59,Cesar93,10,0,0,10,no,,,
88,Clint27,11,0,0,11,no,,,
23,Eveline95,12,0,0,12,no,,,
48,Granville_Kutch,1,75,55,131,no,,,
18,Odessa2,1,82,53,136,no,,,
97,Tomas.Beatty93,2,69,68,139,no,,,
28,Dario77,4,77,59,140,no,,,
47,Harrison.Beatty50,5,76,59,140,no,,,
98,Imani_Nicolas17,1,74,65,140,no,,,
61,Jayson65,1,83,58,142,no,,,
11,Justina.Gaylord27,5,89,49,143,no,,,
33,Yvette.Gottlieb91,5,77,61,143,no,,,
42,Maya.Farrell,3,87,54,144,no,,,
8,Tabitha_Schamberger11,4,79,61,144,no,,,
79,Katarina.Dibbert,1,75,68,144,no,,,
99,Alek_Watsica,3,74,68,145,no,,,
38,Jordyn.Jacobson2,2,85,58,145,no,,,
55,Meggie_Doyle,1,78,66,145,no,,,
52,Zack_Kemmer93,5,85,56,146,no,,,
85,Milford_Gleichner42,2,87,57,146,no,,,
27,Darwin29,1,79,67,147,no,,,
78,Colten.Harris76,5,83,60,148,no,,,
62,Ressie_Stanton46,2,88,58,148,no,,,
30,Kaley9,2,81,65,148,no,,,
37,Yazmin_Mills95,1,84,63,148,no,,,
12,Dereck65,4,77,68,149,no,,,
9,Gus93,4,85,60,149,no,,,
6,Travon.Waters,5,82,62,149,no,,,
44,Seth46,4,86,60,150,no,,,
3,Harley_Lind18,4,79,67,150,no,,,
73,Jaylan.Lakin,1,86,63,150,no,,,
56,Peter.Stehr0,1,81,68,150,no,,,
32,Irwin.Larson,4,91,56,151,no,,,
19,Hailee26,2,90,60,152,no,,,
50,Gerard79,3,81,69,153,no,,,
10,Presley_McClure,3,87,63,153,no,,,
82,Aracely.Johnston98,2,84,67,153,no,,,
84,Alysa22,2,75,76,153,no,,,
94,Damon35,1,84,68,153,no,,,
100,Javonte83,2,82,70,154,no,,,
72,Kathryn80,5,85,64,154,no,,,
40,Rafael.Hickle2,1,85,68,154,no,,,
31,Aiyana_Hoeger,1,88,66,155,no,,,
92,Frederik_Rice,3,91,61,155,no,,,
20,Delpha.Kihn,1,87,67,155,no,,,
95,Nicole71,2,86,68,156,no,,,
93,Willie_Leuschke,2,91,63,156,no,,,
13,Alexandro35,5,93,58,156,no,,,
39,Kelsi26,1,89,67,157,no,,,
70,Erick5,1,88,69,158,no,,,
22,Kenneth64,1,91,67,159,no,,,
16,Annalise.McKenzie16,4,103,52,159,no,,,
4,Arely_Bogan63,3,93,64,160,no,,,
46,Malinda_Streich,4,88,68,160,no,,,
60,Sam52,2,86,72,160,no,,,
65,Adelle96,5,96,60,161,no,,,
35,Lennie_Hartmann40,2,92,67,161,no,,,
43,Janet.Armstrong,5,86,72,163,no,,,
2,Andre_Purdy85,4,94,66,164,no,,,
17,Norbert_Carroll35,3,78,83,164,no,,,
67,Emilio_Bernier52,3,86,76,165,no,,,
15,Billy52,4,84,77,165,no,,,
69,Karley_Bosco,1,97,69,167,no,,,
63,Elenor88,4,83,80,167,no,,,
26,Josianne.Friesen,5,94,69,168,no,,,
87,Rick29,4,92,74,170,no,,,
96,Keenan.Schamberger60,3,98,75,176,no,,,
41,Mckenna17,0,257,257,514,no,,,
36,Ollie_Ledner37,0,257,257,514,no,,,
14,Jaclyn81,0,257,257,514,no,,,
57,Julien_Schmidt,0,257,257,514,no,,,
75,Leslie67,0,257,257,514,no,,,
91,Bethany20,0,257,257,514,no,,,
21,Rocio33,0,257,257,514,no,,,
71,Nia_Haag,0,257,257,514,no,,,
66,Mike.Auer39,0,257,257,514,no,,,
24,Maxwell.Halvorson,0,257,257,514,no,,,
5,Aniya_Hackett,0,257,257,514,no,,,
54,Duane60,0,257,257,514,no,,,
76,Janelle.Nikolaus81,0,257,257,514,no,,,
